pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-06-27,90.6,-2.25,6.18,"Sugano, Tomoyuki",666018,608372,,ball,,,,,12.0,Jonathan Aranda flies out to center fielder Cedric Mullins.,R,L,R,BAL,TB,B,,,0,1,2025,-0.21,1.52,0.21,4.6,,,,0,5,Top,,,,,,,6.569567441484536,-131.89322589017672,-1.2727895974689991,-3.788422156450429,27.401835962034603,-14.336645217131506,3.34,1.41,,,,90.6,2425.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.32,,,,,,,,44,2,4-Seam Fastball,5,7,7,5,7,5,7,5,Infield shade,Standard,205.0,0.0,0.031,,,,-0.031,,-2,2,0.239,0.761,35,27,36,27,3,2,7.0,1.0,5.0,1.0,1.25,0.21,-0.21,45.0,,,,,
FF,2025-06-27,91.7,-2.41,6.03,"Sugano, Tomoyuki",666018,608372,,called_strike,,,,,2.0,Jonathan Aranda flies out to center fielder Cedric Mullins.,R,L,R,BAL,TB,S,,,0,0,2025,-0.59,1.44,-0.03,3.28,,,,0,5,Top,,,,,,,7.286700842357961,-133.43064375370494,-4.2362099488468905,-8.608859661750326,27.553367470757216,-14.210730972288795,3.39,1.54,,,,91.8,2391.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.23,,,,,,,,44,1,4-Seam Fastball,5,7,7,5,7,5,7,5,Infield shade,Standard,209.0,0.0,-0.04,,,,0.04,,-2,2,0.239,0.761,35,27,36,27,3,2,7.0,1.0,5.0,1.0,1.26,0.59,-0.59,40.5,,,,,
CU,2025-06-27,79.1,-2.22,6.19,"Sugano, Tomoyuki",691406,608372,force_out,hit_into_play,,,,,14.0,"Junior Caminero grounds into a force out, third baseman Ramón Urías to second baseman Jackson Holliday. Brandon Lowe out at 2nd.",R,R,R,BAL,TB,X,5.0,ground_ball,0,0,2025,1.07,-1.05,0.14,1.01,650490.0,,664040.0,2,4,Top,107.22,166.88,,,,,3.146769405832204,-115.22830456366091,-2.5380660827395523,8.921387327684851,21.94917758987781,-41.28694853138487,3.52,1.64,4.0,97.1,-19.0,79.1,2792.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.2,0.149,0.13,0.0,1.0,0.0,0.0,2.0,39,1,Curveball,5,7,7,5,7,5,7,5,Standard,Standard,45.0,0.039,-0.286,80.4,8.6,0.16,0.286,97.1,-2,2,0.261,0.739,35,21,36,22,3,2,7.0,1.0,5.0,1.0,4.7,-1.07,-1.07,46.0,7.719446391316534,-8.931823923352086,32.28458396985647,36.70632283744896,41.28257257019978
FS,2025-06-27,88.1,-2.45,6.02,"Sugano, Tomoyuki",664040,608372,single,hit_into_play,,,,,8.0,Brandon Lowe singles on a line drive to left fielder Colton Cowser. Danny Jansen scores. Yandy Díaz to 3rd.,R,L,R,BAL,TB,X,7.0,line_drive,0,0,2025,-1.0,0.39,-0.11,1.36,,643376.0,650490.0,2,4,Top,97.94,88.93,,,,,7.75687914921926,-128.1229426226348,-6.098046355281079,-12.566787227594508,24.470655867687334,-26.786757072300475,3.28,1.46,243.0,93.0,16.0,88.5,1857.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.11,0.8,0.744,0.9,1.0,1.0,0.0,4.0,38,1,Split-Finger,5,6,6,5,7,5,7,5,Standard,Standard,216.0,-0.116,0.548,78.6,7.2,0.951,-0.548,93.0,-1,1,0.377,0.623,35,30,36,31,3,2,7.0,1.0,5.0,1.0,2.53,1.0,-1.0,41.5,4.926517799529632,3.886004798922981,44.88454326352238,36.335647456912035,29.711010892576063
FS,2025-06-27,87.0,-2.42,6.02,"Sugano, Tomoyuki",650490,608372,single,hit_into_play,,,,,7.0,Yandy Díaz singles on a ground ball to third baseman Ramón Urías. Danny Jansen to 2nd.,R,R,R,BAL,TB,X,5.0,ground_ball,0,2,2025,-1.02,0.53,-0.59,1.81,,,643376.0,2,4,Top,85.4,155.29,,,,,6.501286898914646,-126.55172479644078,-5.046820853322014,-12.24129446949368,24.393672084819407,-25.632000302372195,3.51,1.65,18.0,100.3,-5.0,87.4,1699.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.06,0.277,0.255,0.9,1.0,1.0,0.0,2.0,37,3,Split-Finger,5,6,6,5,6,5,6,5,Strategic,Standard,215.0,-0.02,0.45,82.5,8.3,0.314,-0.45,100.3,-1,1,0.397,0.603,35,33,36,34,3,2,7.0,1.0,5.0,1.0,2.47,1.02,1.02,41.6,7.730626545871188,-18.206756612191988,32.097046109550604,28.66931212430423,37.895356166554784
FF,2025-06-27,91.3,-2.44,6.04,"Sugano, Tomoyuki",650490,608372,,foul,,,,,1.0,Yandy Díaz singles on a ground ball to third baseman Ramón Urías. Danny Jansen to 2nd.,R,R,R,BAL,TB,S,,,0,1,2025,-0.2,1.47,-0.49,3.25,,,643376.0,2,4,Top,,,,,,,5.35588204039736,-132.86390130854892,-4.270736718515384,-3.6231685787312857,30.14474849615286,-14.09199115787742,3.51,1.65,162.0,72.5,68.0,91.2,2383.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.14,,,,,,,,37,2,4-Seam Fastball,5,6,6,5,6,5,6,5,Strategic,Standard,210.0,0.0,-0.056,71.3,7.1,,0.056,88.0,-1,1,0.397,0.603,35,33,36,34,3,2,7.0,1.0,5.0,1.0,1.28,0.2,0.2,41.3,5.166360250693138,4.73811972550339,18.726205742697104,29.51748794312725,30.876809560903595
FC,2025-06-27,88.8,-2.36,6.09,"Sugano, Tomoyuki",650490,608372,,called_strike,,,,,9.0,Yandy Díaz singles on a ground ball to third baseman Ramón Urías. Danny Jansen to 2nd.,R,R,R,BAL,TB,S,,,0,0,2025,0.12,0.5,0.49,2.11,,,643376.0,2,4,Top,,,,,,,6.720357843854723,-129.18302984748968,-4.771209281788806,0.0145024244320719,25.79830647621303,-25.788527978498436,3.54,1.54,,,,89.0,2551.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.15,,,,,,,,37,1,Cutter,5,6,6,5,6,5,6,5,Strategic,Standard,185.0,0.0,-0.043,,,,0.043,,-1,1,0.397,0.603,35,33,36,34,3,2,7.0,1.0,5.0,1.0,2.38,-0.12,-0.12,42.9,,,,,
FF,2025-06-27,91.7,-2.3,6.02,"Sugano, Tomoyuki",643376,608372,single,hit_into_play,,,,,3.0,Danny Jansen singles on a sharp line drive to left fielder Colton Cowser.,R,R,R,BAL,TB,X,7.0,line_drive,1,1,2025,-0.17,1.36,0.41,3.04,,,,2,4,Top,61.51,99.82,,,,,7.211431839193145,-133.33755208183473,-4.64598628867617,-3.5585811302396055,27.093154664131077,-15.09946198601812,3.36,1.51,215.0,103.8,13.0,92.0,2375.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.13,0.903,0.892,0.9,1.0,1.0,0.0,4.0,36,3,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,205.0,-0.013,0.346,71.6,7.0,1.164,-0.346,103.8,-1,1,0.41,0.59,35,30,36,30,2,1,7.0,2.0,5.0,2.0,1.34,0.17,0.17,42.2,21.103593462678997,-7.712822779514373,24.617613603101496,42.71365279966054,37.04045131074616
FF,2025-06-27,91.6,-2.38,6.06,"Sugano, Tomoyuki",643376,608372,,ball,,,,,12.0,Danny Jansen singles on a sharp line drive to left fielder Colton Cowser.,R,R,R,BAL,TB,B,,,0,1,2025,-0.3,1.41,0.26,3.73,,,,2,4,Top,,,,,,,7.296938710505445,-133.28745185638743,-3.0893724977712163,-5.132206400814214,27.616264971161115,-14.865171701056797,3.4,1.52,,,,91.5,2433.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.35,,,,,,,,36,2,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,202.0,0.0,0.028,,,,-0.028,,-1,1,0.41,0.59,35,30,36,30,2,1,7.0,2.0,5.0,2.0,1.3,0.3,0.3,41.5,,,,,
FF,2025-06-27,92.0,-2.45,6.01,"Sugano, Tomoyuki",643376,608372,,called_strike,,,,,1.0,Danny Jansen singles on a sharp line drive to left fielder Colton Cowser.,R,R,R,BAL,TB,S,,,0,0,2025,-0.34,1.43,-0.66,2.92,,,,2,4,Top,,,,,,,5.275805874464581,-133.91280207317158,-5.119571185430286,-5.207006974552624,27.60305395774776,-14.043869343517244,3.27,1.46,,,,92.1,2402.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.25,,,,,,,,36,1,4-Seam Fastball,5,6,6,5,6,5,6,5,Strategic,Standard,210.0,0.0,-0.045,,,,0.045,,-1,1,0.41,0.59,35,30,36,30,2,1,7.0,2.0,5.0,2.0,1.25,0.34,0.34,41.0,,,,,
FF,2025-06-27,92.7,-2.52,6.01,"Sugano, Tomoyuki",802415,608372,field_out,hit_into_play,,,,,2.0,"Chandler Simpson grounds out, third baseman Ramón Urías to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,X,5.0,ground_ball,2,1,2025,-0.45,1.13,-0.14,3.24,,,,1,4,Top,119.39,180.06,,,,,7.048537675423478,-134.90774048948057,-3.7490620251682465,-7.002591678327171,28.802690314294107,-17.740705549936855,3.51,1.62,3.0,94.1,-42.0,92.7,2451.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.27,0.089,0.111,0.0,1.0,0.0,0.0,2.0,35,4,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,207.0,0.016,-0.302,63.7,5.2,0.111,0.302,94.1,-1,1,0.394,0.606,35,24,36,25,2,1,7.0,1.0,5.0,1.0,1.52,0.45,-0.45,38.9,-0.8030538554114965,25.560361736550696,25.82496497570581,40.75546762055548,13.441661944746736
FS,2025-06-27,87.5,-2.41,6.01,"Sugano, Tomoyuki",802415,608372,,ball,,,,,13.0,"Chandler Simpson grounds out, third baseman Ramón Urías to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,B,,,1,1,2025,-1.2,0.99,-1.21,2.46,,,,1,4,Top,,,,,,,5.3710998763309,-127.29304692702958,-4.466880278278691,-14.182123479292413,26.43587682341831,-20.72678325560364,3.52,1.52,,,,87.6,1837.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.13,,,,,,,,35,3,Split-Finger,5,6,6,5,6,5,6,5,Standard,Standard,212.0,0.0,0.055,,,,-0.055,,-1,1,0.394,0.606,35,24,36,25,2,1,7.0,1.0,5.0,1.0,1.99,1.2,-1.2,40.5,,,,,
FF,2025-06-27,92.0,-2.47,6.06,"Sugano, Tomoyuki",802415,608372,,called_strike,,,,,4.0,"Chandler Simpson grounds out, third baseman Ramón Urías to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,S,,,1,0,2025,-0.52,1.4,-0.65,2.65,,,,1,4,Top,,,,,,,5.71942560706967,-133.78305303796466,-5.810685966177771,-7.498793131721392,29.29740377775817,-14.300309900636403,3.54,1.6,,,,91.8,2391.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.26,,,,,,,,35,2,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,208.0,0.0,-0.05,,,,0.05,,-1,1,0.394,0.606,35,24,36,25,2,1,7.0,1.0,5.0,1.0,1.3,0.52,-0.52,40.3,,,,,
CU,2025-06-27,79.4,-2.26,6.11,"Sugano, Tomoyuki",802415,608372,,ball,,,,,13.0,"Chandler Simpson grounds out, third baseman Ramón Urías to first baseman Ryan O'Hearn.",R,L,R,BAL,TB,B,,,0,0,2025,0.58,-0.77,-0.24,1.23,,,,1,4,Top,,,,,,,3.341241026720182,-115.64104823874924,-2.418319698404262,4.481419376556427,23.49580059731084,-38.76451091444931,3.6,1.59,,,,79.1,2653.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.28,,,,,,,,35,1,Curveball,5,6,6,5,6,5,6,5,Standard,Standard,54.0,0.0,0.04,,,,-0.04,,-1,1,0.394,0.606,35,24,36,25,2,1,7.0,1.0,5.0,1.0,4.4,-0.58,0.58,44.6,,,,,
FF,2025-06-27,91.6,-2.39,6.02,"Sugano, Tomoyuki",676609,608372,field_out,hit_into_play,,,,,12.0,José Caballero pops out to third baseman Ramón Urías.,R,R,R,BAL,TB,X,5.0,popup,2,2,2025,-0.09,1.29,0.47,3.6,,,,0,4,Top,122.47,193.18,,,,,7.410633311962803,-133.18565024560942,-3.0023355373098757,-2.7677644977930314,29.89266051931803,-16.410580049281826,3.19,1.48,26.0,90.6,78.0,91.4,2401.0,6.3,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.17,0.014,0.015,0.0,1.0,0.0,0.0,3.0,34,6,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Standard,204.0,0.023,-0.234,,,0.018,0.234,90.6,-1,1,0.371,0.629,35,28,36,29,2,1,7.0,2.0,5.0,3.0,1.44,0.09,0.09,41.3,,,,,
ST,2025-06-27,83.5,-2.5,5.95,"Sugano, Tomoyuki",676609,608372,,ball,,,,,14.0,José Caballero pops out to third baseman Ramón Urías.,R,R,R,BAL,TB,B,,,1,2,2025,0.78,0.27,1.6,1.45,,,,0,4,Top,,,,,,,7.907717331271355,-121.27646198127972,-4.380470468922288,6.041142899867881,25.28844985678184,-28.831033027993477,3.19,1.47,,,,83.4,2551.0,6.4,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.06,,,,,,,,34,5,Sweeper,5,6,6,5,6,5,6,5,Standard,Standard,66.0,0.0,0.042,,,,-0.042,,-1,1,0.371,0.629,35,28,36,29,2,1,7.0,2.0,5.0,3.0,3.03,-0.78,-0.78,41.2,,,,,
FF,2025-06-27,91.8,-2.45,6.03,"Sugano, Tomoyuki",676609,608372,,foul,,,,,12.0,José Caballero pops out to third baseman Ramón Urías.,R,R,R,BAL,TB,S,,,1,2,2025,-0.56,1.54,0.5,4.19,,,,0,4,Top,,,,,,,8.661425761960494,-133.44892147191413,-2.087185065551517,-8.67994890562037,30.852735413373363,-13.624111651362892,3.19,1.48,202.0,80.4,60.0,91.3,2455.0,6.2,777343,596142,656811,702616,602104,683002,681297,656775,657656,54.26,,,,,,,,34,4,4-Seam Fastball,5,6,6,5,6,5,6,5,Standard,Strategic,205.0,0.0,0.0,51.1,5.6,,0.0,88.0,-1,1,0.371,0.629,35,28,36,29,2,1,7.0,2.0,5.0,3.0,1.19,0.56,0.56,39.3,7.323564403117253,20.059051365079135,16.673576741058767,34.692971813231765,25.531908617520187
