pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-02,91.4,2.48,5.35,"Imanaga, Shota",542303,684007,grounded_into_double_play,hit_into_play,,,,,13.0,"Marcell Ozuna grounds into a double play, third baseman Matt Shaw to second baseman Nico Hoerner to first baseman Justin Turner. Ozzie Albies out at 2nd. Marcell Ozuna out at 1st.",R,R,L,CHC,ATL,X,5.0,ground_ball,1,0,2025,1.03,1.32,-1.13,2.37,,,645277.0,1,6,Top,99.75,166.55,,,,,-11.23920285344111,-132.49468067075736,-4.368772988903218,14.614123837119902,30.36834752853428,-15.826748660820645,3.56,1.73,10.0,78.6,-12.0,90.6,2410.0,6.2,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.33,0.069,0.059,0.0,1.0,0.0,0.0,2.0,44,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,137.0,0.084,-0.353,68.5,6.5,0.078,0.353,88.0,1,-1,0.662,0.338,31,34,32,35,3,2,5.0,1.0,,1.0,1.44,1.03,-1.03,33.1,5.358816861143757,5.3117463549024455,42.88399313110355,23.294779235101057,25.59175784454727
FF,2025-09-02,91.2,2.33,5.44,"Imanaga, Shota",542303,684007,,ball,,,,,11.0,"Marcell Ozuna grounds into a double play, third baseman Matt Shaw to second baseman Nico Hoerner to first baseman Justin Turner. Ozzie Albies out at 2nd. Marcell Ozuna out at 1st.",R,R,L,CHC,ATL,B,,,0,0,2025,0.78,1.61,-0.2,3.82,,,645277.0,1,6,Top,,,,,,,-7.998341500945985,-132.4713424592555,-1.5630514127077102,11.00801575675961,31.149466258166363,-13.241825034057335,3.5,1.86,,,,90.3,2530.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.43,,,,,,,,44,1,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,142.0,0.0,0.033,,,,-0.033,,1,-1,0.662,0.338,31,34,32,35,3,2,5.0,1.0,,1.0,1.17,0.78,-0.78,35.9,,,,,
ST,2025-09-02,80.9,2.87,5.35,"Imanaga, Shota",645277,684007,single,hit_into_play,,,,,7.0,Ozzie Albies singles on a line drive to left fielder Ian Happ.,R,R,L,CHC,ATL,X,7.0,line_drive,2,2,2025,-1.29,-0.05,-0.72,1.7,,,,1,6,Top,62.81,100.5,,,,,-5.522628764952434,-117.7195415953027,-1.3393624279492191,-10.682612068090542,24.90515366566478,-32.58566324943403,3.2,1.53,193.0,89.7,14.0,80.2,2491.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.42,0.977,0.928,0.9,1.0,1.0,0.0,4.0,43,6,Sweeper,4,3,3,4,3,4,3,4,Infield shade,Standard,306.0,-0.041,0.441,73.5,7.2,1.146,-0.441,89.7,1,-1,0.703,0.297,31,28,32,28,3,2,5.0,1.0,,1.0,3.57,-1.29,1.29,30.1,13.760053677899686,0.8839681924101791,38.01453628473672,19.909129275739737,41.56826557036301
FF,2025-09-02,91.0,2.49,5.47,"Imanaga, Shota",645277,684007,,ball,,,,,12.0,Ozzie Albies singles on a line drive to left fielder Ian Happ.,R,R,L,CHC,ATL,B,,,1,2,2025,0.98,1.48,0.93,3.94,,,,1,6,Top,,,,,,,-5.96662564031282,-132.27195569190832,-1.0561676789554202,12.785712010124897,31.37455707729482,-14.876847916855176,3.24,1.63,,,,90.1,2478.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.42,,,,,,,,43,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,140.0,0.0,0.049,,,,-0.049,,1,-1,0.703,0.297,31,28,32,28,3,2,5.0,1.0,,1.0,1.3,0.98,-0.98,39.3,,,,,
FS,2025-09-02,84.2,2.67,5.56,"Imanaga, Shota",645277,684007,,foul,,,,,14.0,Ozzie Albies singles on a line drive to left fielder Ian Happ.,R,R,L,CHC,ATL,S,,,1,2,2025,1.38,0.56,0.15,1.03,,,,1,6,Top,,,,,,,-8.566142708993814,-122.2850513363972,-5.225136439588181,15.573652942556183,23.87315692126174,-25.701447462562783,3.2,1.53,133.0,88.0,9.0,83.9,1271.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.35,,,,,,,,43,4,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,117.0,0.0,0.0,64.4,8.2,,0.0,88.0,1,-1,0.703,0.297,31,28,32,28,3,2,5.0,1.0,,1.0,2.67,1.38,-1.38,36.7,23.548647652552543,-18.957599014820172,34.12676851145869,29.22625948111645,51.81791395814308
ST,2025-09-02,80.5,2.85,5.27,"Imanaga, Shota",645277,684007,,called_strike,,,,,8.0,Ozzie Albies singles on a line drive to left fielder Ian Happ.,R,R,L,CHC,ATL,S,,,1,1,2025,-1.28,0.07,-0.12,2.01,,,,1,6,Top,,,,,,,-4.143732240617775,-117.08232726561478,-0.5868291481617587,-10.677185521968749,26.018923859620944,-31.679499172324668,3.27,1.64,,,,79.6,2553.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.41,,,,,,,,43,3,Sweeper,4,3,3,4,3,4,3,4,Standard,Standard,303.0,0.0,-0.064,,,,0.064,,1,-1,0.703,0.297,31,28,32,28,3,2,5.0,1.0,,1.0,3.5,-1.28,1.28,31.5,,,,,
FS,2025-09-02,83.9,2.6,5.47,"Imanaga, Shota",645277,684007,,ball,,,,,14.0,Ozzie Albies singles on a line drive to left fielder Ian Happ.,R,R,L,CHC,ATL,B,,,0,1,2025,1.52,0.64,0.08,0.63,,,,1,6,Top,,,,,,,-8.795828718224366,-121.80295334014366,-5.962920620037571,16.894627850273178,25.395051054358035,-24.779285749790656,3.34,1.64,,,,83.4,1410.0,6.2,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.29,,,,,,,,43,2,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,116.0,0.0,0.028,,,,-0.028,,1,-1,0.703,0.297,31,28,32,28,3,2,5.0,1.0,,1.0,2.63,1.52,-1.52,33.5,,,,,
FS,2025-09-02,83.5,2.68,5.48,"Imanaga, Shota",645277,684007,,swinging_strike,,,,,14.0,Ozzie Albies singles on a line drive to left fielder Ian Happ.,R,R,L,CHC,ATL,S,,,0,0,2025,1.26,0.94,0.44,1.4,,,,1,6,Top,,,,,,,-7.612088389414476,-121.2714979241566,-4.755095726635112,13.953185046564366,24.468649140128036,-22.117342757733383,3.2,1.53,,,,83.1,1505.0,6.2,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.28,,,,,,,,43,1,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,123.0,0.0,-0.039,70.8,8.4,,0.039,,1,-1,0.703,0.297,31,28,32,28,3,2,5.0,1.0,,1.0,2.35,1.26,-1.26,32.4,28.661767945068505,-31.517119224382345,37.202861433046415,32.25773926687798,59.55302680946722
FF,2025-09-02,91.0,2.39,5.39,"Imanaga, Shota",621566,684007,field_out,hit_into_play,,,,,1.0,Matt Olson flies out to left fielder Ian Happ.,R,L,L,CHC,ATL,X,7.0,fly_ball,1,2,2025,1.11,1.53,-0.41,3.43,,,,0,6,Top,60.63,86.86,,,,,-9.333202362084704,-132.20922490847576,-2.215636981823892,15.054378931694282,29.993000150372755,-14.049020607812862,3.59,1.75,321.0,91.9,38.0,90.1,2627.0,5.9,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.56,0.026,0.037,0.0,1.0,0.0,0.0,3.0,42,4,4-Seam Fastball,4,3,3,4,3,4,3,4,Infield shade,Standard,139.0,0.036,-0.193,68.1,7.4,0.07,0.193,91.9,1,-1,0.667,0.333,31,31,32,31,3,2,5.0,1.0,,1.0,1.25,1.11,1.11,34.3,5.042091218497796,-1.312994049141022,23.930339576383552,48.455096850959606,29.5469975415617
FS,2025-09-02,83.7,2.82,5.52,"Imanaga, Shota",621566,684007,,ball,,,,,13.0,Matt Olson flies out to left fielder Ian Happ.,R,L,L,CHC,ATL,B,,,0,2,2025,1.39,0.52,-0.44,0.79,,,,0,6,Top,,,,,,,-10.220961071472232,-121.36825498147338,-5.5134034930952005,15.727244135398667,22.972573872657502,-26.091169942112877,3.74,1.83,,,,83.5,1479.0,6.3,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.19,,,,,,,,42,3,Split-Finger,4,3,3,4,3,4,3,4,Infield shade,Standard,118.0,0.0,0.025,,,,-0.025,,1,-1,0.667,0.333,31,31,32,31,3,2,5.0,1.0,,1.0,2.75,1.39,1.39,33.2,,,,,
FS,2025-09-02,83.1,2.61,5.56,"Imanaga, Shota",621566,684007,,swinging_strike,,,,,8.0,Matt Olson flies out to left fielder Ian Happ.,R,L,L,CHC,ATL,S,,,0,1,2025,1.16,0.33,-0.15,2.06,,,,0,6,Top,,,,,,,-8.603098366833668,-120.83098615700844,-2.2324548522034995,12.951392458144012,21.54111487167265,-28.730686868986425,3.59,1.75,,,,83.5,1150.0,6.4,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.11,,,,,,,,42,2,Split-Finger,4,3,3,4,3,4,3,4,Infield shade,Standard,119.0,0.0,-0.055,72.0,9.0,,0.055,,1,-1,0.667,0.333,31,31,32,31,3,2,5.0,1.0,,1.0,2.96,1.16,1.16,34.6,22.568474635774653,-28.820315962743035,29.66336180415925,44.302778104372514,47.49896354697027
FS,2025-09-02,82.3,2.79,5.53,"Imanaga, Shota",621566,684007,,called_strike,,,,,2.0,Matt Olson flies out to left fielder Ian Happ.,R,L,L,CHC,ATL,S,,,0,0,2025,1.28,0.66,0.19,3.2,,,,0,6,Top,,,,,,,-8.3390839078038,-119.62393185167376,-0.0504851228861575,13.876138673935031,22.228181381808373,-26.02589786803104,3.6,1.78,,,,82.2,1395.0,6.2,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.3,,,,,,,,42,1,Split-Finger,4,3,3,4,3,4,3,4,Infield shade,Standard,121.0,0.0,-0.04,,,,0.04,,1,-1,0.667,0.333,31,31,32,31,3,2,5.0,1.0,,1.0,2.7,1.28,1.28,33.1,,,,,
FF,2025-09-02,91.4,2.31,5.52,"Imanaga, Shota",660670,684007,field_out,hit_into_play,,,,,2.0,Ronald Acuña Jr. flies out sharply to left fielder Ian Happ.,R,R,L,CHC,ATL,X,7.0,fly_ball,0,1,2025,1.18,1.33,-0.1,3.28,,,,2,5,Top,71.82,77.35,,,,,-8.585195411150897,-132.7404320207376,-2.554827640365273,15.88400422885304,31.178023119477213,-16.12430596646024,3.67,1.68,329.0,103.0,45.0,90.6,2583.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.38,0.077,0.137,0.0,1.0,0.0,0.0,3.0,38,2,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,142.0,0.014,-0.217,76.3,7.4,0.256,0.217,103.0,1,-1,0.699,0.301,31,27,32,28,3,2,5.0,1.0,,1.0,1.43,1.18,-1.18,37.6,13.967543709902747,-9.145679866205231,29.36017222862634,34.24791224598211,35.43107775802103
FS,2025-09-02,83.7,2.61,5.45,"Imanaga, Shota",660670,684007,,swinging_strike,,,,,9.0,Ronald Acuña Jr. flies out sharply to left fielder Ian Happ.,R,R,L,CHC,ATL,S,,,0,0,2025,1.25,0.61,0.41,2.18,,,,2,5,Top,,,,,,,-7.519474344269681,-121.76463092139127,-2.32627485374029,13.92827861230256,23.284821743783077,-25.844998657060135,3.67,1.68,,,,83.5,1602.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.39,,,,,,,,38,1,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,116.0,0.0,-0.045,81.5,8.9,,0.045,,1,-1,0.699,0.301,31,27,32,28,3,2,5.0,1.0,,1.0,2.64,1.25,-1.25,31.5,29.137111068760667,-24.13632127242517,35.57368608834746,41.036628992776855,51.54257693608672
FS,2025-09-02,83.8,2.52,5.44,"Imanaga, Shota",805373,684007,field_out,hit_into_play,,,,,13.0,"Nacho Alvarez Jr. grounds out softly, pitcher Shota Imanaga to first baseman Justin Turner.",R,R,L,CHC,ATL,X,1.0,ground_ball,2,2,2025,1.34,0.55,-0.36,1.34,,,,1,5,Top,120.74,184.23,,,,,-9.274630084732577,-121.64192576013365,-4.1219753257718015,15.077864177274614,23.848511077343097,-26.07385104506535,3.28,1.5,1.0,46.7,-54.0,83.7,1397.0,6.4,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.13,0.237,0.209,0.0,1.0,0.0,0.0,1.0,37,6,Split-Finger,4,3,3,4,3,4,3,4,Standard,Standard,122.0,0.023,-0.231,72.0,8.6,0.237,0.231,88.0,1,-1,0.676,0.324,31,22,32,22,2,1,5.0,1.0,,1.0,2.71,1.34,-1.34,33.4,18.454938814665827,-34.875704569991505,41.51394811507811,32.34940818755137,49.81275949981674
FF,2025-09-02,90.8,2.49,5.45,"Imanaga, Shota",805373,684007,,foul,,,,,4.0,"Nacho Alvarez Jr. grounds out softly, pitcher Shota Imanaga to first baseman Justin Turner.",R,R,L,CHC,ATL,S,,,2,2,2025,1.28,1.41,-0.33,2.4,,,,1,5,Top,,,,,,,-9.732795295197468,-131.65184260136488,-4.570844487033531,17.073439314164723,32.539739858944934,-15.070921601945972,3.28,1.5,154.0,77.6,73.0,89.6,2523.0,6.1,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.36,,,,,,,,37,5,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,138.0,0.0,0.0,74.4,8.2,,0.0,88.0,1,-1,0.676,0.324,31,22,32,22,2,1,5.0,1.0,,1.0,1.42,1.28,-1.28,35.8,17.77698584511449,-28.819090740896517,30.985131543766453,32.674659023468124,38.57511627768941
FF,2025-09-02,91.0,2.45,5.52,"Imanaga, Shota",805373,684007,,ball,,,,,12.0,"Nacho Alvarez Jr. grounds out softly, pitcher Shota Imanaga to first baseman Justin Turner.",R,R,L,CHC,ATL,B,,,1,2,2025,1.04,1.46,1.23,3.81,,,,1,5,Top,,,,,,,-5.258054013647447,-132.3628518799462,-1.4279486286214342,13.410187898322835,32.69234796734291,-15.094413946596518,3.31,1.67,,,,90.0,2521.0,6.0,776487,608348,457759,663538,807713,621020,664023,682634,663656,54.46,,,,,,,,37,4,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,143.0,0.0,0.049,,,,-0.049,,1,-1,0.676,0.324,31,22,32,22,2,1,5.0,1.0,,1.0,1.33,1.04,-1.04,36.4,,,,,
