pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-09-01,92.6,2.51,5.44,"Kikuchi, Yusei",673237,579328,field_out,hit_into_play,,,,,5.0,Yainer Diaz flies out to right fielder Jo Adell.,R,R,L,HOU,LAA,X,9.0,fly_ball,0,1,2025,0.61,1.48,0.11,2.62,,,,0,6,Bot,212.88,116.41,,,,,-7.52773849436366,-134.5694098425487,-4.662730144423076,9.072985359985935,31.080854780985227,-13.33294402435976,3.17,1.44,296.0,88.1,35.0,93.4,2220.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.54,0.026,0.032,0.0,1.0,0.0,0.0,3.0,45,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,141.0,-0.021,-0.222,76.9,6.9,0.051,0.222,88.1,1,1,0.746,0.746,34,26,34,27,3,2,6.0,1.0,,1.0,1.19,0.61,-0.61,36.8,1.2861912510968716,20.80908730331657,28.155899113632696,38.02675696364378,22.39270747058034
CH,2025-09-01,81.3,2.05,5.58,"Kikuchi, Yusei",673237,579328,,foul,,,,,11.0,Yainer Diaz flies out to right fielder Jo Adell.,R,R,L,HOU,LAA,S,,,0,0,2025,1.08,1.28,-0.25,3.6,,,,0,6,Bot,,,,,,,-7.317503970159355,-118.1236594015616,-0.198950213558842,11.54007698592804,24.796064554784373,-20.501929647316626,3.17,1.44,191.0,71.4,32.0,82.0,1541.0,7.1,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.43,,,,,,,,45,1,Changeup,4,3,4,3,3,4,4,3,Infield shade,Standard,147.0,0.0,-0.04,77.0,7.9,,0.04,88.0,1,1,0.746,0.746,34,26,34,27,3,2,6.0,1.0,,1.0,2.21,1.08,-1.08,45.7,18.101584208939624,-25.07041601746736,20.970083520823376,35.87190777061925,47.2580048412179
FF,2025-09-01,93.6,2.27,5.43,"Kikuchi, Yusei",572233,579328,field_out,hit_into_play,,,,,2.0,Christian Walker flies out to center fielder Bryce Teodosio.,R,R,L,HOU,LAA,X,8.0,fly_ball,0,1,2025,0.71,1.35,0.04,2.85,,,621043.0,2,5,Bot,125.49,51.81,,,,,-7.410285803682536,-136.0354924494564,-3.901853689241178,10.472509298797902,30.70635614460536,-14.781717380850743,3.41,1.59,364.0,99.9,36.0,94.4,2161.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.63,0.337,0.643,0.0,1.0,0.0,0.0,5.0,41,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,135.0,-0.022,-0.23,73.3,7.4,1.257,0.23,99.9,1,1,0.689,0.689,34,34,34,34,3,2,6.0,1.0,,1.0,1.27,0.71,-0.71,35.3,11.328733326969884,5.827177567682454,27.007620136759304,35.208479177249856,29.89283781559975
FF,2025-09-01,94.5,2.24,5.53,"Kikuchi, Yusei",572233,579328,,swinging_strike,,,,,11.0,Christian Walker flies out to center fielder Bryce Teodosio.,R,R,L,HOU,LAA,S,,,0,0,2025,0.77,1.1,-0.31,3.79,,,621043.0,2,5,Bot,,,,,,,-8.430698339829593,-137.31045809699046,-1.2741290714214768,11.610081841255264,31.652139679434747,-18.22683366774516,3.41,1.59,,,,95.2,2152.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.61,,,,,,,,41,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Infield shade,Standard,138.0,0.0,-0.043,50.8,5.8,,0.043,,1,1,0.689,0.689,34,34,34,34,3,2,6.0,1.0,,1.0,1.47,0.77,-0.77,35.6,-1.6013288150049272,18.6070702755023,26.407465344349752,30.972197229736036,15.765647846031577
SL,2025-09-01,84.6,2.26,5.52,"Kikuchi, Yusei",621043,579328,single,hit_into_play,,,,,7.0,Carlos Correa singles on a sharp ground ball to center fielder Bryce Teodosio. Yordan Alvarez scores.,R,R,L,HOU,LAA,X,8.0,ground_ball,0,0,2025,-0.45,-0.51,-0.42,1.85,,670541.0,,2,5,Bot,110.95,97.84,,,,,-5.401763514773643,-123.14918622838876,-1.1763744966377918,-3.4767852651322904,25.38560607814965,-37.363604279353666,3.54,1.7,11.0,106.5,-9.0,85.5,2474.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.58,0.317,0.282,0.9,1.0,1.0,0.0,2.0,40,1,Slider,3,3,3,3,3,4,4,3,Standard,Standard,289.0,0.142,0.67,80.8,7.1,0.321,-0.67,106.5,0,0,0.547,0.547,34,30,34,31,3,2,6.0,1.0,,1.0,3.71,-0.45,0.45,40.5,-2.7784817045201655,4.331304478185684,44.966603529065075,33.12189664748494,18.535243853388696
SL,2025-09-01,85.1,2.17,5.47,"Kikuchi, Yusei",514888,579328,field_out,hit_into_play,,,,,13.0,Jose Altuve grounds out softly to first baseman Niko Kavadas. Yordan Alvarez to 2nd.,R,R,L,HOU,LAA,X,3.0,ground_ball,0,1,2025,-0.43,-0.45,-0.59,0.62,,,670541.0,1,5,Bot,137.95,187.05,,,,,-5.656184023332738,-123.74468119594276,-4.135216052702416,-3.2219722994447313,26.69960456294798,-36.114779184806515,2.88,1.31,1.0,35.1,-48.0,85.7,2454.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.6,0.28,0.268,0.0,1.0,0.0,0.0,1.0,39,2,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,303.0,-0.022,-0.28,64.8,8.6,0.28,0.28,88.0,0,0,0.569,0.569,34,35,34,35,3,2,6.0,1.0,,1.0,3.62,-0.43,0.43,39.3,24.951268943857503,-34.55951710747229,38.93269238688173,33.92426243779748,44.042273607776536
SL,2025-09-01,83.7,2.25,5.45,"Kikuchi, Yusei",514888,579328,,foul,,,,,13.0,Jose Altuve grounds out softly to first baseman Niko Kavadas. Yordan Alvarez to 2nd.,R,R,L,HOU,LAA,S,,,0,0,2025,-0.44,-0.31,-0.99,1.96,,,670541.0,1,5,Bot,,,,,,,-6.695148601376583,-121.81708696771533,-1.010193316510592,-3.0566976929134375,23.58104375907505,-35.32343710031952,2.88,1.31,163.0,102.7,8.0,84.9,2430.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.47,,,,,,,,39,1,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,292.0,0.0,-0.04,71.7,8.1,,0.04,102.7,0,0,0.569,0.569,34,35,34,35,3,2,6.0,1.0,,1.0,3.56,-0.44,0.44,40.2,27.571109902438263,-28.386307067524704,33.911965167267866,27.99261564526856,43.14358539268195
SL,2025-09-01,83.3,2.37,5.34,"Kikuchi, Yusei",670541,579328,single,hit_into_play,,,,,8.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,X,8.0,line_drive,3,2,2025,-0.43,-0.28,0.13,2.07,,,,1,5,Bot,139.22,87.23,,,,,-4.370391660416969,-121.26323298406191,-0.4678296229335335,-3.2251316062604967,26.172800155043724,-35.01595501465575,3.57,1.75,157.0,88.0,11.0,83.9,2394.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.59,0.611,0.564,0.9,1.0,1.0,0.0,4.0,38,7,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,294.0,0.033,0.336,74.8,7.4,0.673,-0.336,88.0,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,3.59,-0.43,-0.43,38.2,3.0344681816560466,6.094708189761549,40.89674967864747,37.25577797177776,33.610419283750986
FF,2025-09-01,95.2,2.44,5.32,"Kikuchi, Yusei",670541,579328,,ball,,,,,13.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,B,,,2,2,2025,0.78,1.35,-0.58,1.08,,,,1,5,Bot,,,,,,,-9.776690499231286,-137.97384007232245,-8.524788750899292,12.257029177226498,32.682401756954995,-13.137680361703366,3.54,1.74,,,,95.8,2115.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.5,,,,,,,,38,6,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,136.0,0.0,0.105,,,,-0.105,,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,1.2,0.78,0.78,33.4,,,,,
SL,2025-09-01,84.9,2.39,5.37,"Kikuchi, Yusei",670541,579328,,foul,,,,,6.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,S,,,2,2,2025,-0.41,-0.29,0.57,2.4,,,,1,5,Bot,,,,,,,-3.503260289337262,-123.6461108422435,-0.0779721773281019,-3.5299467202542947,23.184657415020915,-35.34685586446279,3.57,1.75,77.0,81.4,2.0,86.1,2404.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.61,,,,,,,,38,5,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,284.0,0.0,0.0,67.0,6.5,,0.0,88.0,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,3.43,-0.41,-0.41,35.7,-16.394415894805256,21.672232578394247,43.451279216940776,32.42887715106675,13.48868514103168
SL,2025-09-01,86.6,2.36,5.39,"Kikuchi, Yusei",670541,579328,,ball,,,,,13.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,B,,,1,2,2025,-0.4,-0.08,-0.88,0.72,,,,1,5,Bot,,,,,,,-6.982987333569471,-125.92833781080355,-4.777451635028514,-2.7486655590339377,27.281268188272197,-32.15858577138816,3.54,1.78,,,,87.3,2547.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.6,,,,,,,,38,4,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,278.0,0.0,0.049,,,,-0.049,,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,3.14,-0.4,-0.4,37.3,,,,,
SL,2025-09-01,83.6,2.3,5.35,"Kikuchi, Yusei",670541,579328,,swinging_strike,,,,,13.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,S,,,1,1,2025,-0.48,-0.02,-0.86,1.17,,,,1,5,Bot,,,,,,,-6.380105218815719,-121.48432213557626,-3.1168514254882025,-3.371564617550242,26.22098144781355,-31.894730383480777,3.57,1.75,,,,84.0,2334.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.63,,,,,,,,38,3,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,290.0,0.0,-0.064,75.2,8.9,,0.064,,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,3.32,-0.48,-0.48,37.3,22.2268253828358,-19.087936487186056,35.75052570476341,48.29825318640443,48.6252904632171
FF,2025-09-01,95.2,2.42,5.43,"Kikuchi, Yusei",670541,579328,,ball,,,,,7.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,B,,,0,1,2025,0.67,1.39,-0.42,1.9,,,,1,5,Bot,,,,,,,-9.042136214359283,-138.20196221578652,-6.721918132148325,10.755324587423658,34.23194105670677,-13.058829039397288,3.47,1.75,,,,95.6,2233.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.62,,,,,,,,38,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,141.0,0.0,0.028,,,,-0.028,,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,1.16,0.67,0.67,34.7,,,,,
SL,2025-09-01,85.7,2.32,5.43,"Kikuchi, Yusei",670541,579328,,swinging_strike,,,,,13.0,Yordan Alvarez singles on a line drive to center fielder Bryce Teodosio.,R,L,L,HOU,LAA,S,,,0,0,2025,-0.43,-0.28,-1.15,1.21,,,,1,5,Bot,,,,,,,-7.420799687533278,-124.5375128584814,-3.0588372987735113,-2.728017062006018,28.179298436432436,-34.57511548465864,3.57,1.75,,,,86.2,2437.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.52,,,,,,,,38,1,Slider,3,3,3,3,3,3,3,3,Infield shade,Standard,286.0,0.0,-0.039,60.3,8.3,,0.039,,0,0,0.536,0.536,34,28,34,28,3,2,6.0,1.0,,2.0,3.42,-0.43,-0.43,38.8,15.188578278226316,-5.656062925284182,29.839567894380792,52.11264533866694,39.34812217384641
SL,2025-09-01,83.9,2.31,5.48,"Kikuchi, Yusei",665161,579328,field_out,hit_into_play,,,,,5.0,Jeremy Peña lines out sharply to center fielder Bryce Teodosio.,R,R,L,HOU,LAA,X,8.0,line_drive,0,0,2025,-0.33,-0.17,-0.09,2.49,,,,0,5,Bot,112.0,61.92,,,,,-4.945289464836244,-122.03464999215208,-0.1214229141910989,-2.271807543719553,25.45818558408448,-34.075962856259096,3.58,1.73,342.0,107.7,18.0,84.7,2375.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.52,0.689,0.904,0.0,1.0,0.0,0.0,6.0,37,1,Slider,3,3,3,3,3,3,3,3,Standard,Standard,270.0,-0.029,-0.262,73.5,6.9,1.461,0.262,107.7,0,0,0.565,0.565,34,27,34,28,3,2,6.0,1.0,,1.0,3.43,-0.33,0.33,40.5,6.076432392311313,3.727296999474244,31.183773507251637,34.08728923004536,29.98190987542701
SL,2025-09-01,84.5,2.33,5.41,"Kikuchi, Yusei",643289,579328,grounded_into_double_play,hit_into_play,,,,,2.0,"Mauricio Dubón grounds into a double play, second baseman Luis Rengifo to shortstop Zach Neto to first baseman Niko Kavadas. Ramón Urías out at 2nd. Mauricio Dubón out at 1st.",R,R,L,HOU,LAA,X,4.0,ground_ball,2,1,2025,-0.27,0.05,-0.01,3.18,,,602104.0,1,4,Bot,152.52,152.59,,,,,-4.9757588955834935,-122.95715143363527,1.0620050086428618,-1.7299409417512532,23.95454220252211,-32.082082252843,3.43,1.65,19.0,97.4,-8.0,85.5,2416.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.59,0.214,0.214,0.0,1.0,0.0,0.0,2.0,33,4,Slider,3,3,3,3,3,3,3,3,Standard,Standard,279.0,-0.062,-0.365,66.0,6.4,0.259,0.365,97.4,0,0,0.562,0.562,34,30,34,31,2,1,6.0,2.0,,1.0,3.14,-0.27,0.27,34.4,1.43868935985148,20.147108080471696,23.440108886774787,36.234349690771936,17.809335755326437
SL,2025-09-01,83.8,2.18,5.4,"Kikuchi, Yusei",643289,579328,,foul,,,,,7.0,"Mauricio Dubón grounds into a double play, second baseman Luis Rengifo to shortstop Zach Neto to first baseman Niko Kavadas. Ramón Urías out at 2nd. Mauricio Dubón out at 1st.",R,R,L,HOU,LAA,S,,,2,0,2025,-0.44,-0.1,-0.66,1.92,,,602104.0,1,4,Bot,,,,,,,-5.761608157504201,-121.91916231996704,-1.432143262171255,-3.2138729149294964,24.05883030347899,-33.08617979069205,3.43,1.65,2.0,71.9,-41.0,84.8,2407.0,6.9,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.55,,,,,,,,33,3,Slider,3,3,3,3,3,3,3,3,Standard,Standard,280.0,0.0,-0.061,69.6,7.2,,0.061,88.0,0,0,0.562,0.562,34,30,34,31,2,1,6.0,2.0,,1.0,3.35,-0.44,0.44,37.5,3.2284331200496057,10.192318301744017,34.57456174333773,30.895904901138667,27.614217887098217
FF,2025-09-01,93.5,2.08,5.54,"Kikuchi, Yusei",643289,579328,,ball,,,,,13.0,"Mauricio Dubón grounds into a double play, second baseman Luis Rengifo to shortstop Zach Neto to first baseman Niko Kavadas. Ramón Urías out at 2nd. Mauricio Dubón out at 1st.",R,R,L,HOU,LAA,B,,,1,0,2025,0.79,1.48,-1.31,1.49,,,602104.0,1,4,Bot,,,,,,,-10.604271543000822,-135.47801980592916,-7.921464580398411,12.313558279742011,33.539558782216986,-12.34465312887959,3.43,1.72,,,,93.9,2195.0,7.0,776499,518595,694359,650859,672724,687263,683090,669326,666176,53.47,,,,,,,,33,2,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,144.0,0.0,0.073,,,,-0.073,,0,0,0.562,0.562,34,30,34,31,2,1,6.0,2.0,,1.0,1.18,0.79,-0.79,38.1,,,,,
